elapsed_s,N,cpu_step_wall_med_s,gpu_step_wall_med_s,speedup_step
2560,2000,1.127894,0.071932,15.680
2587,5000,2.882408,0.159570,18.064
2670,10000,5.738555,0.996951,5.756
4060,2000,1.112509,0.085968,12.941
4089,5000,2.922421,0.168209,17.374
4166,10000,5.876319,0.578144,10.164
5562,2000,1.119747,0.092886,12.055
5590,5000,2.877944,0.178252,16.145
5668,10000,5.726960,0.942394,6.077
7063,2000,1.135163,0.090991,12.476
7091,5000,2.907155,0.196782,14.773
7168,10000,5.764173,0.488198,11.807
8564,2000,1.115896,0.104687,10.659
8592,5000,2.860160,0.193736,14.763
8669,10000,5.825160,0.926037,6.290
10060,2000,1.124480,0.097929,11.483
10087,5000,2.868129,0.127684,22.463
10165,10000,5.745250,0.616567,9.318
11565,2000,1.138690,0.081395,13.990
11592,5000,2.906400,0.196549,14.787
11668,10000,5.855311,0.440564,13.291
