benchmark,mode,size_key,size_value,steps,n,mean_s,sd_s,ci95_s,min_s,max_s,mean_error_lines,fail_count
biophysical_cellscale_benchmark,CPU,neurons,1000,20000,10,0.296033,0.016688,0.010344,0.282903,0.335364,0.00,0
biophysical_cellscale_benchmark,CPU,neurons,1500,20000,10,0.341331,0.014142,0.008766,0.326921,0.363748,0.00,0
biophysical_cellscale_benchmark,CPU,neurons,2000,20000,10,0.388864,0.014613,0.009057,0.374832,0.416453,0.00,0
biophysical_cellscale_benchmark,CPU,neurons,3000,20000,10,0.551263,0.027585,0.017097,0.524449,0.607413,0.00,0
biophysical_cellscale_benchmark,CPU,neurons,4000,20000,10,0.783745,0.053162,0.032950,0.743533,0.924197,0.00,0
biophysical_cellscale_benchmark,CPU,neurons,5000,20000,10,1.091358,0.018853,0.011685,1.051670,1.126097,0.00,0
mesoscale_sparse_benchmark,CPU,neurons,10000,20000,10,4.322232,0.063062,0.039086,4.253272,4.418365,0.00,0
mesoscale_sparse_benchmark,CPU,neurons,12000,20000,10,5.821623,0.098589,0.061106,5.697395,5.959952,0.00,0
mesoscale_sparse_benchmark,CPU,neurons,16000,20000,10,8.898204,0.091055,0.056437,8.779224,9.080431,0.00,0
mesoscale_sparse_benchmark,CPU,neurons,20000,20000,10,13.164125,0.133461,0.082720,13.000424,13.401002,0.00,0
mesoscale_sparse_benchmark,CPU,neurons,24000,20000,10,17.842880,0.311559,0.193106,17.278693,18.238763,0.00,0
mesoscale_sparse_benchmark,CPU,neurons,30000,20000,10,25.099293,0.243607,0.150989,24.723554,25.429936,0.00,0
region_proxy_microcircuit_benchmark,CPU,region_cells,12500,20000,10,0.251988,0.007500,0.004649,0.244362,0.265247,0.00,0
region_proxy_microcircuit_benchmark,CPU,region_cells,18000,20000,10,0.271390,0.006635,0.004113,0.262244,0.284192,0.00,0
region_proxy_microcircuit_benchmark,CPU,region_cells,24500,20000,10,0.291648,0.005413,0.003355,0.285349,0.301109,0.00,0
region_proxy_microcircuit_benchmark,CPU,region_cells,32000,20000,10,0.305914,0.003540,0.002194,0.301912,0.311941,0.00,0
region_proxy_microcircuit_benchmark,CPU,region_cells,40500,20000,10,0.333031,0.010267,0.006363,0.321763,0.358402,0.00,0
region_proxy_microcircuit_benchmark,CPU,region_cells,8000,20000,10,0.243056,0.004814,0.002984,0.235354,0.248373,0.00,0
