P,rep,wall_s
1,1,2.405860
1,2,2.391071
1,3,2.440165
1,4,2.349241
1,5,2.415879
1,6,2.395329
1,7,2.399423
1,8,2.412280
1,9,2.442512
1,10,2.345662
1,11,2.324892
2,1,1.270523
2,2,1.283656
2,3,1.252300
2,4,1.260061
2,5,1.248889
2,6,1.236392
2,7,1.350732
2,8,1.223014
2,9,1.278097
2,10,1.251036
2,11,1.252244
4,1,0.761491
4,2,0.762501
4,3,0.730850
4,4,0.755838
4,5,0.774913
4,6,0.775043
4,7,0.759277
4,8,0.696187
4,9,0.747253
4,10,0.855443
4,11,0.794814
6,1,0.692192
6,2,0.707455
6,3,0.660191
6,4,0.642980
6,5,0.650447
6,6,0.652517
6,7,0.676863
6,8,0.692456
6,9,0.623300
6,10,0.717760
6,11,0.679724
8,1,0.581856
8,2,0.623286
8,3,0.570898
8,4,0.601203
8,5,0.590487
8,6,0.531639
8,7,0.594593
8,8,0.594561
8,9,0.645564
8,10,0.634905
8,11,0.556800
12,1,0.554232
12,2,0.487932
12,3,0.551649
12,4,0.552044
12,5,0.545622
12,6,0.501990
12,7,0.450054
12,8,0.583544
12,9,0.570584
12,10,0.526680
12,11,0.491887
16,1,0.528787
16,2,0.610887
16,3,0.563287
16,4,0.547520
16,5,0.624727
16,6,0.541869
16,7,0.506072
16,8,0.486615
16,9,0.498410
16,10,0.560076
16,11,0.580988
20,1,0.638708
20,2,0.568042
20,3,0.513811
20,4,0.495157
20,5,0.615040
20,6,0.619803
20,7,0.581910
20,8,0.615468
20,9,0.561339
20,10,0.596348
20,11,0.557711
24,1,0.604945
24,2,0.532253
24,3,0.593929
24,4,0.567418
24,5,0.614492
24,6,0.514490
24,7,0.543308
24,8,0.660497
24,9,0.636631
24,10,0.650230
24,11,0.609743
