benchmark,mode,size,n,mean_s,sd_s,ci95_s,min_s,max_s,mean_error_lines,fail_count
mesoscale_sparse_benchmark,GPU,10000,10,4.426878,0.038663,0.023964,4.359281,4.474624,0.00,0
mesoscale_sparse_benchmark,GPU,12000,3,5.682343,0.071268,0.080647,5.600214,5.727896,0.00,0
mesoscale_sparse_benchmark,GPU,16000,3,8.822748,0.096400,0.109087,8.728521,8.921184,0.00,0
mesoscale_sparse_benchmark,GPU,20000,5,13.244784,0.107601,0.094316,13.090125,13.361342,0.00,0
mesoscale_sparse_benchmark,GPU,24000,3,17.854924,0.096161,0.108816,17.793763,17.965763,0.00,0
mesoscale_sparse_benchmark,GPU,30000,5,26.929601,0.242239,0.212332,26.604143,27.208601,0.00,0
biophysical_cellscale_benchmark,GPU,1000,10,0.309391,0.008998,0.005577,0.298583,0.322696,0.00,0
biophysical_cellscale_benchmark,GPU,1500,3,0.350768,0.028376,0.032111,0.326465,0.381952,0.00,0
biophysical_cellscale_benchmark,GPU,2000,5,0.391455,0.014808,0.012980,0.376872,0.414826,0.00,0
biophysical_cellscale_benchmark,GPU,3000,3,0.561220,0.006969,0.007886,0.554064,0.567986,0.00,0
biophysical_cellscale_benchmark,GPU,4000,5,0.777843,0.012100,0.010606,0.760230,0.791707,0.00,0
biophysical_cellscale_benchmark,GPU,5000,3,1.107995,0.020783,0.023518,1.085657,1.126760,0.00,0
region_proxy_microcircuit_benchmark,GPU,8000,10,0.242243,0.003018,0.001871,0.234176,0.245013,0.00,0
region_proxy_microcircuit_benchmark,GPU,12500,3,0.257934,0.003666,0.004149,0.254025,0.261296,0.00,0
region_proxy_microcircuit_benchmark,GPU,18000,5,0.274024,0.012599,0.011043,0.257468,0.292479,0.00,0
region_proxy_microcircuit_benchmark,GPU,24500,3,0.292404,0.002291,0.002593,0.290551,0.294966,0.00,0
region_proxy_microcircuit_benchmark,GPU,32000,5,0.310092,0.007011,0.006146,0.301270,0.320024,0.00,0
region_proxy_microcircuit_benchmark,GPU,40500,3,0.346244,0.009639,0.010908,0.335604,0.354394,0.00,0
